Length,Boat,Year,PriceUSD,Type,Use,NofE,Fuel,Hull
148,Perini Navi Cutter Sloop ,2006,21812000,S,U,S,D,ST
148,Perini Navi Perini 45 mt ,2006,21812000,S,U,S,D,ST
146,Sensation Yachts147ft ... ,1997,9500000,S,U,S,G,CP
143,Barcos DeportivosCruis... ,2003,16140880,S,U,S,D,AL
137,Danish YachtCruising/R... ,2004,17500000,S,U,S,D,ST
137,Holland Jachtbouw ,2005,9908880,S,U,S,D,AL
136,Danish YachtsRacer/Cru... ,2004,9000000,S,U,S,D,ST
133,William Fife IiiGaff R... ,1931,7478400,S,U,S,D,W
132,Dubois 40.30 ,2000,6668240,S,U,S,D,AL
131,Concorde ,1992,2617440,S,U,S,D,FG
125,Palmer Johnson ,1991,5850000,S,U,T,D,AL
123,Custom Build Gulet ,2004,2866720,S,U,T,D,W
121,William Fife JuniorTwo... ,2003,2492800,S,U,S,D,W
118,Maxi Dolphin 118' Sloop ,2001,6979840,S,U,T,D,FG
116,Cnb ,2005,5551200,S,U,S,D,O
114,35 M Steel Ken Freivok... ,2008,3116000,S,N,T,D,ST
114,Bluepearl ,2011,9995000,S,N,S,D,CP
114,Heli Yachts ,1998,3116000,S,U,S,D,ST
112,Nautor Swan 112 RS ,2002,6543600,S,U,S,D,CP
112,Nautor Swan 112 ,1999,6107360,S,U,S,D,O
111,J.o.m. Dykstra 110 ,2011,6855200,S,U,S,D,AL
110,Aeroyacht ,2013,21108840,S,N,T,D,CP
110,Alloy Yachts Fast cruiser ,1993,5982720,S,U,S,D,AL
110,Dynamique ,1996,1620320,S,U,T,D,FG
108,Lidingoverken ,1949,2430480,S,U,T,D,ST
108,Vintage Classic ,1949,2430480,S,U,T,D,ST
106,Nedship107 MARC LOMBAR... ,1998,3250000,S,U,S,D,CP
105,William FifeGaff-rigge... ,2003,2492800,S,U,S,D,ST
104,Gulet Ketch Custom Ketch ,2006,1034512,S,U,T,D,W
104,Jongert 3200P ,2015,13585760,S,N,S,D,AL
104,Wally Yachts ,1998,4736320,S,U,S,D,CP
104,William Fife IiiGaff R... ,2004,2492800,S,U,S,D,ST
102,William Fife Gaff Schooner ,2004,3116000,S,U,S,D,ST
101,101 Cruiser ,2013,8101600,S,N,S,D,CP
101,N2a Ketch 101' -FEB 2009 ,1993,2900000,S,U,S,D,AL
100,A Custom Cruise / Race ,1996,550000,S,U,S,D,CP
100,Certified CharterMega-... ,1996,549000,S,U,S,D,CP
100,Custom CRUISE / RACER ,1996,695000,S,U,S,D,FG
100,Custom Mega SloopPerfo... ,1996,695000,S,U,S,D,CP
